id,danceability,energy,liveness,valence,tempo
560,0.598,0.291,0.12,0.38,123.978
561,0.514,0.319,0.211,0.677,203.651
562,0.448,0.256,0.113,0.174,77.272
563,0.441,0.423,0.122,0.153,88.865
564,0.636,0.169,0.124,0.467,138.236
565,0.445,0.289,0.0988,0.172,104.006
566,0.435,0.208,0.147,0.189,69.027
567,0.656,0.349,0.138,0.289,118.026
568,0.609,0.0866,0.113,0.411,167.892
569,0.448,0.885,0.0476,0.134,178.151
570,0.545,0.255,0.0841,0.831,98.088
571,0.626,0.682,0.0985,0.636,75.02
572,0.572,0.317,0.528,0.38,78.009
573,0.368,0.871,0.149,0.636,107.721
574,0.51,0.32,0.124,0.425,92.385
575,0.55,0.334,0.101,0.143,72.235
576,0.487,0.162,0.117,0.49,82.33
577,0.309,0.349,0.0907,0.192,180.075
578,0.38,0.468,0.0973,0.303,143.504
579,0.716,0.525,0.0893,0.423,96.993
580,0.407,0.222,0.11,0.204,123.618
581,0.657,0.43,0.12,0.335,91.967
582,0.534,0.492,0.185,0.328,82.465
583,0.603,0.374,0.127,0.542,135.946
584,0.725,0.746,0.0575,0.656,102.87
585,0.448,0.755,0.273,0.575,156.045
586,0.595,0.879,0.344,0.839,124.784
587,0.686,0.285,0.129,0.672,103.995
588,0.693,0.367,0.111,0.286,129.879
589,0.71,0.402,0.103,0.136,106.024
590,0.691,0.552,0.197,0.685,119.931
591,0.642,0.237,0.0574,0.694,137.4
592,0.48,0.77,0.254,0.744,126.225
593,0.785,0.732,0.524,0.798,137.946
594,0.668,0.304,0.0826,0.567,112.338
595,0.758,0.406,0.0908,0.383,109.984
596,0.49,0.749,0.0792,0.739,144.87
597,0.389,0.864,0.193,0.548,98.11
598,0.387,0.524,0.718,0.858,95.623
599,0.408,0.974,0.278,0.578,197.008
600,0.486,0.0745,0.104,0.396,145.912
601,0.638,0.329,0.338,0.475,94.125
602,0.522,0.382,0.133,0.519,169.861
603,0.49,0.204,0.0893,0.373,167.573
604,0.674,0.116,0.0979,0.21,129.976
605,0.778,0.445,0.119,0.502,130.01
606,0.259,0.195,0.352,0.183,146.011
607,0.408,0.095,0.106,0.357,137.546
608,0.663,0.26,0.101,0.243,107.931
